Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:37:56.396,1.02764,1.02757,3.53,1.50
22.04.2013 10:37:56.577,1.02767,1.02757,2.97,1.50
22.04.2013 10:37:56.704,1.02767,1.02754,2.29,2.44
22.04.2013 10:37:56.886,1.02766,1.02754,1.88,1.50
22.04.2013 10:37:57.066,1.02763,1.02752,1.65,2.25
22.04.2013 10:37:57.366,1.02762,1.02749,1.65,1.50
22.04.2013 10:37:57.905,1.02762,1.02748,2.40,2.63
22.04.2013 10:37:58.447,1.02762,1.02749,3.90,1.50
22.04.2013 10:37:58.985,1.02762,1.02747,3.90,2.78
22.04.2013 10:37:59.527,1.02761,1.02748,1.50,1.65
22.04.2013 10:38:00.216,1.02762,1.02749,3.15,1.50
22.04.2013 10:38:00.968,1.02762,1.02749,1.65,3.00
22.04.2013 10:38:01.517,1.02762,1.02749,1.65,3.38
22.04.2013 10:38:03.096,1.02762,1.02749,1.65,3.38
22.04.2013 10:38:03.535,1.02764,1.02749,4.13,3.38
22.04.2013 10:38:04.143,1.02762,1.02749,1.65,4.88
22.04.2013 10:38:04.326,1.02762,1.02749,3.15,1.88
22.04.2013 10:38:04.866,1.02762,1.02749,2.40,2.25
22.04.2013 10:38:05.406,1.02760,1.02749,1.50,1.50
22.04.2013 10:38:07.477,1.02761,1.02749,1.50,1.50
22.04.2013 10:38:07.897,1.02761,1.02749,2.25,1.50
22.04.2013 10:38:08.443,1.02760,1.02747,2.25,2.25
22.04.2013 10:38:09.147,1.02759,1.02747,3.75,2.25
22.04.2013 10:38:10.106,1.02758,1.02748,1.50,1.50
22.04.2013 10:38:10.906,1.02758,1.02748,1.50,1.50
22.04.2013 10:38:11.518,1.02758,1.02748,1.50,1.50
22.04.2013 10:38:12.488,1.02760,1.02748,3.75,1.50
22.04.2013 10:38:13.167,1.02759,1.02748,3.00,1.50
22.04.2013 10:38:14.490,1.02759,1.02748,1.50,1.50
22.04.2013 10:38:14.678,1.02753,1.02746,1.65,1.50
22.04.2013 10:38:14.797,1.02753,1.02743,1.65,1.13
22.04.2013 10:38:15.229,1.02753,1.02740,1.65,1.50
22.04.2013 10:38:15.300,1.02753,1.02741,1.65,1.50
22.04.2013 10:38:15.370,1.02753,1.02740,1.65,1.50
22.04.2013 10:38:16.203,1.02753,1.02738,3.98,3.75
22.04.2013 10:38:16.282,1.02750,1.02738,1.50,1.50
22.04.2013 10:38:16.638,1.02749,1.02737,1.88,1.13
22.04.2013 10:38:16.826,1.02748,1.02736,1.65,1.50
22.04.2013 10:38:18.467,1.02747,1.02733,1.65,4.28
22.04.2013 10:38:20.596,1.02748,1.02736,1.65,1.50
22.04.2013 10:38:20.897,1.02752,1.02740,7.65,1.50
22.04.2013 10:38:20.957,1.02752,1.02739,4.65,3.75
22.04.2013 10:38:21.196,1.02754,1.02742,1.13,3.15
22.04.2013 10:38:21.317,1.02757,1.02743,2.63,1.50
22.04.2013 10:38:21.497,1.02757,1.02743,1.88,1.50
22.04.2013 10:38:21.618,1.02757,1.02744,1.13,1.65
22.04.2013 10:38:21.818,1.02760,1.02748,2.25,2.25
22.04.2013 10:38:23.036,1.02760,1.02748,1.50,2.25
22.04.2013 10:38:27.716,1.02759,1.02748,1.50,2.25
22.04.2013 10:38:28.936,1.02760,1.02748,2.25,2.25
22.04.2013 10:38:29.238,1.02761,1.02749,1.50,1.50
22.04.2013 10:38:29.417,1.02763,1.02749,1.73,2.25
22.04.2013 10:38:29.936,1.02763,1.02750,1.73,1.50
22.04.2013 10:38:32.447,1.02763,1.02751,4.65,1.50
22.04.2013 10:38:33.186,1.02763,1.02750,3.53,1.50
22.04.2013 10:38:33.737,1.02763,1.02749,3.53,2.25
22.04.2013 10:38:34.401,1.02763,1.02749,3.53,3.75
